ID,Name,PC1,PC2,PC3,PC4,PC5,Quadrant,Octant,MP,BP,Density,Dielectric,ETN,Refractive Index,Hildebrand,Hansen Disp,Hansen Polar,Hansen H-Bond,Gutmann,Dipole,Solvatochromic Pi*,Solvatochromic Alpha,Solvatochromic Beta,log Pow,Abraham R2,Abraham Pi,Abraham AH,Abraham BH,Abraham L16,Abraham Vx,Auto-Ignition,T-Rating,Flash Point,Flammability,Flammability Score,Vapour Pressure,VOC Potential,Viscosity,Viscosity Score,Hvap,Heat Capacity,Static,Solubility of Water,Miscibility,ICH Class,ICH Limit,Health_old,Impact in Air,Impact in Water,LCA,SMILES,InChIKey,InChI,CAS,Formula,Mol. Wt.,General,Environmental,Environmental Link,Reactivity,Reactivity Literature,Avoidance,Acid,Alcohol,Alkene,Anhydride,Amide,1°Amide,2°Amide,3°Amide,Amine,1°Amine,2°Amine,3°Amine,Heteroaromatic Amines,Anilines,Nitrogen Bases,Aromatic,Carbonate,Ester,Ether,Ketone/Aldehyde,Halogen,Chloro,Fluoro,Hydrocarbon,Nitrile,Nitro,Phosphorus Containing,Sulfur Containing,Sulfide,Sulfoxide,Sulfite,Sulfone,Urea,Silicone,Other,Safety,Health,Environment,Default ranking,Adjusted ranking
17,Methyl Cellosolve [2-Methoxyethanol],-5.28528,-0.863147,0.149651,-1.06035,-0.461615,1,5,-85.1,124.5,0.965,16.9,0.67,1.402,11.7,7.9,4.5,8.0,,2.04,0.71,,,-0.77,0.27,0.5,0.3,0.84,2.5,0.649,285,T3,39,Class II,2,6.8,1,1.722,1,932,2357,1,964.61,Not Determined,2,50,3,3,1,,COCCO,XNWFRZJHXBZDAG-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",109-86-4,C3H8O2,76.094,,REACH Candidate list - consider alternatives,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,9,3,Hazardous,Hazardous
164,Methyl Formate,-2.7394,-4.36315,-2.99058,-2.02339,2.15273,1,1,-99.0,31.5,0.967,8.7,0.346,1.343,9.9,,,,,1.77,0.62,0.0,0.37,0.03,0.19,0.68,0.0,0.38,1.24,0.465,456,T1,-19,Class IA,3,486.6,3,0.347,0,509,2045,,,Y,,,Not Assigned,,,,COC=O,TZIHFWKZFHZASV-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",107-31-3,C2H4O2,60.052,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6,7,7,Hazardous,Hazardous
265,Methyl Isobutyl Carbinol,-1.32958,-0.0646447,2.43219,-1.24635,-0.37168,0,5,,131.7,0.671,,,1.41,9.0,8.0,5.7,5.6,,1.7,,,,,,,,,,1.013,,Not Assigned,102,Class IIIB,1,4.6,1,5.069,1,538,,,,N,,,Not Assigned,,,,CC(CC(O)C)C,WVYWICLMDOOCFB-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",108-11-2,C6H14O,102.175,Racemic mixture - Could be problematic for asymmetric reactions.,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3,2,3,Recommended,Recommended
180,Methyl Propionate,-0.740185,-1.83783,-1.9521,-2.04831,1.17614,0,1,-87.5,80.0,0.908,6.2,,1.376,9.1,,,,11.0,1.67,,,,0.84,,,,,,0.747,469,T1,-2,Class IB,3,65.0,2,0.458,0,420,2157,,,N,,,Not Assigned,,,,CCC(=O)OC,RJUFJBKOKNCXHH-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",554-12-1,C4H8O2,88.105,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,3,3,Recommended,Recommended
118,Methylcyclohexane,5.91508,-4.51144,0.00220696,-1.81105,-0.995321,2,6,-126.6,100.9,0.765,2.0,,1.423,8.0,7.8,0.0,0.5,,0.0,,,,3.88,0.24,0.1,0.0,0.0,3.32,0.986,285,T3,-6,Class IB,3,36.2,2,0.742,0,341,2432,,,N,2,1180,Not Assigned,,,,CC1CCCCC1,UAEPNZWRGJTJPN-UHFFFAOYSA-N,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",108-87-2,C7H14,98.186,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,6,2,7,Problematic,Problematic
218,Methylcyclopentane,4.40048,-5.39104,-0.45836,-2.23816,-0.209832,2,2,-142.4,71.9,0.74,,,1.41,7.9,,,,,0.0,,,,3.37,0.23,0.1,0.0,0.0,2.82,0.845,329,T2,-27,Class IB,3,110.2,2,0.504,0,409,2521,,,N,,,Not Assigned,,,,CC1CCCC1,GDOPTJXRTPNYNR-UHFFFAOYSA-N,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",96-37-7,C6H12,84.16,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,8,3,3,Hazardous,Hazardous
26,MIBK [Methyl iso-Butyl Ketone or 4-Methyl-2-pentanone],0.593996,0.332404,-1.82072,-1.2971,0.464529,0,0,-84.7,116.2,0.798,13.1,0.269,1.396,8.6,7.5,3.0,2.0,16.0,2.69,,,,1.31,0.11,0.65,0.0,0.51,,0.97,459,T1,16,Class IB,3,14.4,1,0.58,0,359,2571,1,13.51,N,3,5000,2,1,1,,CC(CC(=O)C)C,NTIZESTWPVYFNL-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",108-10-1,C6H12O,100.159,Good for azeotroping water - consider as an extraction solvent,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,2,3,Recommended,Recommended
78,Morpholine,-3.90904,2.31485,-2.69152,-0.611439,-2.284,3,3,-4.8,128.2,0.995,7.7,0.318,1.454,10.8,9.2,2.4,4.5,,1.71,,,,-1.08,0.43,0.79,0.06,0.91,,0.722,310,T2,38,Class II,2,7.2,1,2.242,1,390,,,1000.28,Y,,,Not Assigned,,,,C1CNCCO1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",110-91-8,C4H9NO,87.12,,,,,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,7,3,Problematic,Problematic
104,MTBE [tert-Butylmethylether],0.922674,-1.18203,-2.01444,-2.98548,-0.762469,0,2,-108.6,55.2,0.735,4.5,0.124,1.369,7.4,,,,,1.36,,,,0.94,,,,,,0.872,450,T1,-28,Class IB,3,197.8,3,0.34,0,389,2869,1,,N,3,5000,3,1,2,2,COC(C)(C)C,BZLVMXJERCGZMT-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",1634-04-4,C5H12O,88.148,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8,3,5,Hazardous,Hazardous
81,n-Butyl Acetate,1.58361,0.124714,-0.800722,-1.90324,1.18449,0,0,-73.5,125.9,0.876,5.0,0.241,1.394,8.7,7.7,1.8,3.1,15.0,1.86,0.46,0.0,,1.82,0.07,0.6,0.0,0.45,3.35,1.028,421,T2,22,Class IB,3,8.3,1,0.73,0,234,,1,,N,3,5000,1,1,1,1,CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",123-86-4,C6H12O2,116.158,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4,2,3,Recommended,Recommended
159,"N-Ethyl-N-isopropylpropan-2-amine [Diispropylethylamine, Hunig's Base]",4.89075,1.16705,-0.455425,-1.07769,-3.28526,4,4,-50.0,126.5,0.747,,,1.414,,,,,,,,,,,,,,,,1.336,240,T3,10,Class IB,3,,,,,,,,,N,,,Not Assigned,,,,CCN(C(C)C)C(C)C,JGFZNNIVVJXRND-UHFFFAOYSA-N,"InChI=1S/C8H19N/c1-6-9(7(2)3)8(4)5/h7-8H,6H2,1-5H3",7087-68-5,C8H19N,129.243,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,6,3,Problematic,Problematic
213,N-Ethylaniline,3.12205,-0.191582,0.973793,4.94788,-2.22555,2,6,-63.5,204.9,0.96,,,1.56,10.5,,,,33.0,1.7,,,,2.16,,,,,,1.098,479,T1,85,Class IIIA,1,0.1,1,2.191,1,456,1938,,,N,,,Not Assigned,,,,CCNc1ccccc1,OJGMBLNIHDZDGS-UHFFFAOYSA-N,"InChI=1S/C8H11N/c1-2-9-8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",103-69-5,C8H11N,121.18,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,6,7,Problematic,Problematic
